Ash	,45	,15	,45	,65
Atlas	,15	,45	,100	,45
Banshee	,45	,100	,15	,100
Chroma	,15	,45	,100	,100
Ember	,100	,15	,15	,45
Equinox	,45	,15	,45	,100
Frost	,100	,15	,15	,45
Hydroid	,45	,15	,45	,100
Ivara	,45	,100	,15	,45
Limbo	,45	,100	,100	,15
Loki	,15	,45	,15	,100
Mag	,100	,45	,15	,15
Mesa	,45	,15	,100	,100
Mirage	,100	,15	,15	,45
Nekros	,100	,15	,45	,100
Nova	,45	,100	,15	,15
Nyx	,15	,65	,100	,45
Oberon	,45	,15	,100	,100
Rhino	,100	,65	,45	,15
Saryn	,65	,100	,45	,15
Trinity	,45	,45	,25	,15
Valkyr	,15	,100	,45	,100
Vauban	,100	,100	,100	,100
Volt	,25	,45	,65	,45
Wukong	,100	,45	,15	,45
Zephyr	,100	,45	,15	,100
